||06|0606|061|020806||||CA|0208.06
||17|1717|031|805600|||0|IL|8056.00
||51|5151|660|000401|||0|VA|0004.01
||42|4242|107|002700||||PA|0027.00
||29|2929|077|004801|||0|MO|0048.01
||12|1212|017|450902||||FL|4509.02
||36|3636|081|079300||||NY|0793.00
||34|3434|013|019900||||NJ|0199.00
||40|4040|109|104900||||OK|1049.00
||26|2626|163|537600||||MI|5376.00
||12|1212|115|001702||||FL|0017.02
||39|3939|113|002000|||0|OH|0020.00
||06|0606|037|224310||||CA|2243.10
||17|1717|031|838100|||0|IL|8381.00
||30|3030|027|030100||||MT|0301.00
||17|1717|031|803606|||0|IL|8036.06
||06|0606|019|003702||||CA|0037.02
||01|0101|073|011209||||AL|0112.09
||01|0101|009|050700||||AL|0507.00
||17|1717|119|403121|||0|IL|4031.21
||36|3636|081|097300||||NY|0973.00
||06|0606|037|125310||||CA|1253.10
||48|4848|181|000304||||TX|0003.04
||27|2727|027|030102|||0|MN|0301.02
||51|5151|760|020100|||0|VA|0201.00
||12|1212|045|990000||||FL|9900.00
||72|7272|021|030903||||PR|0309.03
||26|2626|163|579500||||MI|5795.00
||34|3434|013|017000||||NJ|0170.00
||42|4242|003|474203||||PA|4742.03
||28|2828|049|003400||||MS|0034.00
||39|3939|035|186206|||0|OH|1862.06
||06|0606|021|010400||||CA|0104.00
||32|3232|003|003618||||NV|0036.18
||42|4242|069|112200||||PA|1122.00
||08|0808|031|000701||||CO|0007.01
||54|5454|033|030500||||WV|0305.00
||12|1212|086|009808||||FL|0098.08
||40|4040|143|007408||||OK|0074.08
||36|3636|021|000200||||NY|0002.00
||22|2222|087|030500||||LA|0305.00
||36|3636|055|008301||||NY|0083.01
||06|0606|039|000103||||CA|0001.03
||26|2626|049|011211||||MI|0112.11
||29|2929|095|013504|||0|MO|0135.04
||37|3737|183|053410|||0|NC|0534.10
||12|1212|011|060121||||FL|0601.21
||12|1212|119|910402||||FL|9104.02
||13|1313|215|010107|||0|GA|0101.07
||06|0606|095|253403||||CA|2534.03
||24|2424|031|701509||||MD|7015.09
||48|4848|355|003304||||TX|0033.04
||54|5454|023|969500||||WV|9695.00
||32|3232|031|980300||||NV|9803.00
||48|4848|113|014114||||TX|0141.14
||06|0606|037|208501||||CA|2085.01
||05|0505|137|950202||||AR|9502.02
||37|3737|183|052901|||0|NC|0529.01
||06|0606|019|005516||||CA|0055.16
||12|1212|127|082508||||FL|0825.08
||26|2626|063|950500||||MI|9505.00
||26|2626|163|562500||||MI|5625.00
||06|0606|037|297601||||CA|2976.01
||29|2929|037|060202|||0|MO|0602.02
||18|1818|105|001304||||IN|0013.04
||25|2525|021|409102|||0|MA|4091.02
||19|1919|117|950300|||0|IA|9503.00
||29|2929|003|010400|||0|MO|0104.00
||06|0606|073|020214||||CA|0202.14
||24|2424|025|302902||||MD|3029.02
||42|4242|007|604000||||PA|6040.00
||12|1212|099|005903||||FL|0059.03
||17|1717|201|003807|||0|IL|0038.07
||42|4242|071|012103||||PA|0121.03
||05|0505|119|001300||||AR|0013.00
||53|5353|033|021500|||0|WA|0215.00
||06|0606|037|603801||||CA|6038.01
||06|0606|001|451403||||CA|4514.03
||34|3434|005|700505||||NJ|7005.05
||29|2929|095|008000|||0|MO|0080.00
||20|2020|209|041600||||KS|0416.00
||39|3939|061|022102|||0|OH|0221.02
||12|1212|053|040101||||FL|0401.01
||13|1313|097|080511|||0|GA|0805.11
||49|4949|037|978200|||0|UT|9782.00
||17|1717|097|861608|||0|IL|8616.08
||12|1212|099|007765||||FL|0077.65
||47|4747|093|005712|||0|TN|0057.12
||36|3636|087|013402||||NY|0134.02
||39|3939|103|415200|||0|OH|4152.00
||12|1212|086|980700||||FL|9807.00
||06|0606|013|338201||||CA|3382.01
||48|4848|029|160901||||TX|1609.01
||49|4949|035|114800|||0|UT|1148.00
||17|1717|193|958300|||0|IL|9583.00
||17|1717|097|864519|||0|IL|8645.19
||42|4242|101|016000||||PA|0160.00
||36|3636|043|010202||||NY|0102.02
||12|1212|095|014805||||FL|0148.05
||55|5555|079|000303|||0|WI|0003.03
||13|1313|021|012500|||0|GA|0125.00
||09|0909|005|266100||||CT|2661.00
||29|2929|201|781200|||0|MO|7812.00
||37|3737|129|012300|||0|NC|0123.00
||48|4848|123|970200||||TX|9702.00
||06|0606|019|004506||||CA|0045.06
||08|0808|049|000201||||CO|0002.01
||34|3434|037|372300||||NJ|3723.00
||48|4848|029|121701||||TX|1217.01
||47|4747|025|970300|||0|TN|9703.00
||48|4848|117|950600||||TX|9506.00
||42|4242|115|032901||||PA|0329.01
||06|0606|065|040302||||CA|0403.02
||18|1818|141|011202||||IN|0112.02
||26|2626|021|020300||||MI|0203.00
||06|0606|073|000800||||CA|0008.00
||42|4242|095|017000||||PA|0170.00
||40|4040|041|375900||||OK|3759.00
||06|0606|037|910804||||CA|9108.04
||35|3535|017|964100|||0|NM|9641.00
||48|4848|441|012700||||TX|0127.00
||50|5050|025|968600||||VT|9686.00
||42|4242|049|000800||||PA|0008.00
||06|0606|075|047901||||CA|0479.01
||01|0101|123|962700||||AL|9627.00
||06|0606|061|023100||||CA|0231.00
||13|1313|139|000201|||0|GA|0002.01
||12|1212|031|016711||||FL|0167.11
||22|2222|033|001900||||LA|0019.00
||48|4848|249|950600||||TX|9506.00
||26|2626|081|013900||||MI|0139.00
||27|2727|171|100100|||0|MN|1001.00
||12|1212|009|063106||||FL|0631.06
||01|0101|101|002500||||AL|0025.00
||39|3939|169|000500|||0|OH|0005.00
||25|2525|017|312200|||0|MA|3122.00
||32|3232|001|950600||||NV|9506.00
||06|0606|067|007904||||CA|0079.04
||02|0202|150|000100||||AK|0001.00
||37|3737|051|001901|||0|NC|0019.01
||48|4848|323|950602||||TX|9506.02
||06|0606|079|012000||||CA|0120.00
||06|0606|081|610500||||CA|6105.00
||54|5454|019|020700||||WV|0207.00
||12|1212|086|000901||||FL|0009.01
||27|2727|053|027203|||0|MN|0272.03
||48|4848|201|432702||||TX|4327.02
||35|3535|013|000102|||0|NM|0001.02
||47|4747|073|050502|||0|TN|0505.02
