Transmittal Sheet, , , , ,
Data Field Number, Data Field Name, Data Field Type, Valid Values , Descriptions or Examples,
1, Record Identifier - Value is 1, Numeric, 1,  ,
2, Respondent-ID, Alphanumeric,  , Please see “RID for 2017 HMDA Filers” table above,
3, Agency Code, Numeric, 1 2 3 5 7 9, Descriptions: 1.Office of the Comptroller of the Currency (OCC) 2. Federal Reserve System (FRS) 3.Federal Deposit Insurance Corporation (FDIC) 5.National Credit Union Administration (NCUA) 7.United States Department of Housing and Urban Development (HUD) 9. Consumer Financial Protection Bureau (CFPB),
4, Timestamp, Numeric,  , Format is century year month day hour minute.  Example: Jan. 17 2017 at 1:30 pm is 201701171330,
5, Activity Year, Numeric,  , Four digit year. Example: 2017,
6, Tax ID, Alphanumeric,  , Example: 99-9999999,
7, Total Line Entries, Numeric, , The number of line entries contained in the accompanying Loan/Application Register. Example: 5000,
8, Respondent Name, Alphanumeric, , Example: Ficus Bank,
9, Respondent Address, Alphanumeric, , Example: 4321 W Random Blvd Ste 201,
10, Respondent City, Alphanumeric, , Example: Somecity,
11, Respondent State, Alphanumeric,  , Postal Code abbreviation. Example: ST,
12, Respondent ZIP Code, Alphanumeric,   , Example: 12345-1010,
13, Parent Name, Alphanumeric,  , If applicable. Example: Fern Bank,
14, Parent Address, Alphanumeric,  ,If applicable. Example: 456 Somewhere Ave,
15, Parent City, Alphanumeric,  ,If applicable. Example: Anytown,
16, Parent State, Alphanumeric,  , If applicable. Example: ST,
17, Parent Zip Code, Alphanumeric,  , If applicable. Example: 12345-1010,
18, Contact Person's Name, Alphanumeric,  , For questionable data reports or other issues that may arise during an annual processing cycle. Example: Erika Otis,
19, Contact Person's Phone Number, Alphanumeric,  , Example: 999-999-9999,
20, Contact Person's Facsimile Number, Alphanumeric,  , Example: 555-555-5555,
21, Contact Person's E-mail Address, Alphanumeric,  , Enter only one e-mail address. E-mail address must contain only one @ symbol. Example: erikaotis@bank.com,
