Term of Loan in Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
03/13/2000,8.57,8.00,7.75,7.75,7.53,7.53,7.44,7.44,7.13,7.13,7.13,7.13,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33
03/20/2000,8.57,7.96,7.66,7.66,7.42,7.42,7.34,7.34,7.02,7.02,7.02,7.02,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,7.98,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35,8.35
03/27/2000,8.67,8.06,7.72,7.72,7.41,7.41,7.28,7.28,6.94,6.94,6.94,6.94,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34
04/03/2000,8.65,8.06,7.70,7.70,7.35,7.35,7.22,7.22,6.87,6.87,6.87,6.87,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34
04/10/2000,8.68,7.99,7.63,7.63,7.25,7.25,7.12,7.12,6.77,6.77,6.77,6.77,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31
04/17/2000,8.75,8.05,7.69,7.69,7.31,7.31,7.20,7.20,6.82,6.82,6.82,6.82,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,7.93,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22
04/24/2000,8.65,8.00,7.65,7.65,7.34,7.34,7.29,7.29,6.93,6.93,6.93,6.93,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27
05/01/2000,8.66,8.05,7.70,7.70,7.37,7.37,7.27,7.27,6.93,6.93,6.93,6.93,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24
05/08/2000,8.79,8.40,8.04,8.04,7.71,7.71,7.58,7.58,7.24,7.24,7.24,7.24,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39
05/15/2000,8.85,8.45,8.09,8.09,7.77,7.77,7.66,7.66,7.34,7.34,7.34,7.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.34,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63,8.63
05/22/2000,9.04,8.61,8.23,8.23,7.87,7.87,7.75,7.75,7.41,7.41,7.41,7.41,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
05/29/2000,8.95,8.67,8.40,8.40,8.07,8.07,7.97,7.97,7.64,7.64,7.64,7.64,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73,8.73
06/05/2000,8.95,8.54,8.21,8.21,7.88,7.88,7.77,7.77,7.47,7.47,7.47,7.47,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.39,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64
06/12/2000,8.94,8.42,8.08,8.08,7.73,7.73,7.65,7.65,7.34,7.34,7.34,7.34,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42
06/19/2000,9.10,8.52,8.15,8.15,7.76,7.76,7.67,7.67,7.36,7.36,7.36,7.36,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33
06/26/2000,8.92,8.43,8.16,8.16,7.76,7.76,7.68,7.68,7.37,7.37,7.37,7.37,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.02,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
07/03/2000,8.96,8.49,8.13,8.13,7.78,7.78,7.72,7.72,7.42,7.42,7.42,7.42,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32
07/10/2000,8.97,8.40,8.12,8.12,7.74,7.74,7.70,7.70,7.43,7.43,7.43,7.43,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27,8.27
07/17/2000,8.92,8.35,8.00,8.00,7.67,7.67,7.64,7.64,7.39,7.39,7.39,7.39,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19,8.19
07/24/2000,9.02,8.53,8.19,8.19,7.87,7.87,7.81,7.81,7.55,7.55,7.55,7.55,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.08,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31
07/31/2000,8.99,8.46,8.11,8.11,7.78,7.78,7.71,7.71,7.48,7.48,7.48,7.48,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23
08/07/2000,8.98,8.36,8.08,8.08,7.73,7.73,7.64,7.64,7.43,7.43,7.43,7.43,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23
08/14/2000,8.98,8.22,7.89,7.89,7.56,7.56,7.47,7.47,7.24,7.24,7.24,7.24,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14,8.14
08/21/2000,9.10,8.28,7.91,7.91,7.52,7.52,7.39,7.39,7.04,7.04,7.04,7.04,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,7.87,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07
08/28/2000,9.07,8.33,8.06,8.06,7.66,7.66,7.52,7.52,7.18,7.18,7.18,7.18,7.89,7.89,7.89,7.89,7.89,7.89,7.89,7.89,7.89,7.89,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10
09/04/2000,9.16,8.26,7.88,7.88,7.51,7.51,7.39,7.39,7.05,7.05,7.05,7.05,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,7.84,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07,8.07
09/11/2000,9.22,8.24,7.84,7.84,7.50,7.50,7.39,7.39,7.08,7.08,7.08,7.08,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05,8.05
09/18/2000,9.15,8.21,7.82,7.82,7.48,7.48,7.39,7.39,7.09,7.09,7.09,7.09,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99
09/25/2000,9.16,8.25,7.87,7.87,7.55,7.55,7.52,7.52,7.29,7.29,7.29,7.29,7.73,7.73,7.73,7.73,7.73,7.73,7.73,7.73,7.73,7.73,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01
10/02/2000,9.10,8.19,7.81,7.81,7.46,7.46,7.41,7.41,7.19,7.19,7.19,7.19,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.69,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99
10/09/2000,9.10,8.15,7.78,7.78,7.46,7.46,7.44,7.44,7.25,7.25,7.25,7.25,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94
10/16/2000,9.12,8.15,7.77,7.77,7.45,7.45,7.40,7.40,7.21,7.21,7.21,7.21,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.68,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95
10/23/2000,9.14,8.17,7.78,7.78,7.45,7.45,7.42,7.42,7.24,7.24,7.24,7.24,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92,7.92
10/30/2000,9.11,8.10,7.70,7.70,7.37,7.37,7.27,7.27,7.11,7.11,7.11,7.11,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78,7.78
11/06/2000,8.82,7.82,7.47,7.47,7.20,7.20,7.13,7.13,6.95,6.95,6.95,6.95,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82
11/13/2000,9.12,8.05,7.67,7.67,7.35,7.35,7.34,7.34,7.17,7.17,7.17,7.17,7.60,7.60,7.60,7.60,7.60,7.60,7.60,7.60,7.60,7.60,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88
11/20/2000,8.95,7.95,7.58,7.58,7.24,7.24,7.24,7.24,7.10,7.10,7.10,7.10,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82
11/27/2000,8.98,7.95,7.56,7.56,7.21,7.21,7.19,7.19,7.06,7.06,7.06,7.06,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82
12/04/2000,8.94,7.86,7.47,7.47,7.14,7.14,7.12,7.12,6.98,6.98,6.98,6.98,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74
12/11/2000,8.91,7.80,7.52,7.52,7.19,7.19,7.17,7.17,7.07,7.07,7.07,7.07,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64,7.64
12/18/2000,8.94,7.77,7.36,7.36,7.00,7.00,6.98,6.98,6.85,6.85,6.85,6.85,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.26,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51
12/25/2000,8.72,7.68,7.35,7.35,6.97,6.97,6.97,6.97,6.86,6.86,6.86,6.86,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27,7.27
01/01/2001,8.63,7.60,7.31,7.31,6.99,6.99,7.05,7.05,6.92,6.92,6.92,6.92,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23
01/08/2001,8.75,7.67,7.33,7.33,7.05,7.05,7.17,7.17,7.04,7.04,7.04,7.04,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17
01/15/2001,8.35,7.48,7.21,7.21,7.06,7.06,7.22,7.22,7.15,7.15,7.15,7.15,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98
01/22/2001,8.34,7.47,7.19,7.19,7.01,7.01,7.17,7.17,7.13,7.13,7.13,7.13,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11,7.11
01/29/2001,8.34,7.49,7.24,7.24,7.13,7.13,7.32,7.32,7.30,7.30,7.30,7.30,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23
02/05/2001,8.24,7.44,7.27,7.27,7.18,7.18,7.33,7.33,7.33,7.33,7.33,7.33,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19
02/12/2001,8.15,7.32,7.15,7.15,7.05,7.05,7.15,7.15,7.13,7.13,7.13,7.13,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08
02/19/2001,8.10,7.27,7.03,7.03,6.93,6.93,7.03,7.03,6.91,6.91,6.91,6.91,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10
02/26/2001,8.13,7.27,7.04,7.04,7.00,7.00,7.10,7.10,7.00,7.00,7.00,7.00,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21
03/05/2001,8.09,7.25,7.04,7.04,7.05,7.05,7.18,7.18,7.10,7.10,7.10,7.10,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,6.74,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12
03/12/2001,7.99,7.17,6.96,6.96,6.95,6.95,7.07,7.07,6.97,6.97,6.97,6.97,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06,7.06
03/19/2001,8.02,7.24,7.04,7.04,7.02,7.02,7.14,7.14,7.04,7.04,7.04,7.04,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05,7.05
03/26/2001,7.92,7.18,7.05,7.05,6.98,6.98,7.13,7.13,7.05,7.05,7.05,7.05,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
04/02/2001,7.89,7.18,7.00,7.00,7.00,7.00,7.15,7.15,7.10,7.10,7.10,7.10,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00
